restaurant_id,master_business_id,name,business_status,address,city,website,geometry_location_lat,geometry_location_lng,geometry_viewport_northeast_lat,geometry_viewport_northeast_lng,geometry_viewport_southwest_lat,geometry_viewport_southwest_lng,opening_hours_open_now,place_id,plus_code_compound_code,plus_code_global_code,price_level,rating,reference,types,user_ratings_total,normalized_name,is_active,created_at
135,257,PHỞ 26 Vietnamese Restaurant,OPERATIONAL,"2011 Plains Rd E Unit # 2, Burlington, ON L7R 0A6, Canada", Burlington,"NULL",43.33879,-79.8174,43.34003,-79.8162,43.33733,-79.8189,f,ChIJbSLP3uJhK4gRI3tcFD7npNQ,"85QM+G2 Burlington, Ontario",87M285QM+G2,NULL,3.1,ChIJbSLP3uJhK4gRI3tcFD7npNQ,restaurant,191,phỞ 26 vietnamese restaurant,t,2024-12-31 05:24:01.948397
136,793,The Art Of Pho,OPERATIONAL,"777 Guelph Line, Burlington, ON L7R 3N2, Canada", Burlington,"NULL",43.34923,-79.7935,43.35061,-79.7923,43.34791,-79.795,f,ChIJA_bqyiRhK4gRY0Bx1QghogI,"86X4+MH Burlington, Ontario",87M286X4+MH,NULL,4.6,ChIJA_bqyiRhK4gRY0Bx1QghogI,restaurant,125,the art of pho,t,2024-12-31 05:24:01.986454
137,693,PastaCo (Factory Outlet),OPERATIONAL,"5341 John Lucas Dr, Burlington, ON L7L 6A8, Canada", Burlington,"NULL",43.39712,-79.766,43.39845,-79.7646,43.39575,-79.7673,f,ChIJxUZcRcZgK4gROO1gc_djwOE,"96WM+VJ Burlington, Ontario",87M296WM+VJ,NULL,3.6,ChIJxUZcRcZgK4gROO1gc_djwOE,food,17,pastaco (factory outlet),t,2024-12-31 05:24:02.024762
138,382,The British Market,OPERATIONAL,"2465 Mt Forest Dr, Burlington, ON L7P 1J7, Canada", Burlington,"NULL",43.35988,-79.8156,43.3612,-79.8141,43.3585,-79.8168,f,ChIJwTTEO25hK4gRjf-keh3WkKo,"955M+XQ Burlington, Ontario",87M2955M+XQ,NULL,4.8,ChIJwTTEO25hK4gRjf-keh3WkKo,grocery_or_supermarket,28,the british market,t,2024-12-31 05:24:02.087093
139,433,Vic Caters & Bakery,OPERATIONAL,"2920 Headon Forest Dr, Burlington, ON L7M 4H1, Canada", Burlington,"NULL",43.38922,-79.8217,43.39062,-79.8205,43.38792,-79.8232,f,ChIJp65llw1jK4gRLU8RrWhpGoA,"95QH+M8 Burlington, Ontario",87M295QH+M8,NULL,4.4,ChIJp65llw1jK4gRLU8RrWhpGoA,restaurant,124,vic caters & bakery,t,2024-12-31 05:24:02.133674
140,443,Fitfuel Smoothies,OPERATIONAL,"3011 Appleby Line, Burlington, ON L7M 0V7, Canada", Burlington,"NULL",43.40972,-79.8063,43.41088,-79.805,43.40818,-79.8077,f,ChIJB4WzTI9hK4gRbLF1s1_dfmM,"C55V+VF Burlington, Ontario",87M2C55V+VF,NULL,5,ChIJB4WzTI9hK4gRbLF1s1_dfmM,restaurant,5,fitfuel smoothies,t,2024-12-31 05:24:02.201614
141,757,Farmer Jack's Market,OPERATIONAL,"676 Appleby Line, Burlington, ON L7L 5Y1, Canada", Burlington,"NULL",43.37142,-79.762,43.37289,-79.7605,43.37019,-79.7632,f,ChIJ2fS-KYtgK4gR3KFIh-ERT3k,"96CQ+H6 Burlington, Ontario",87M296CQ+H6,NULL,4.5,ChIJ2fS-KYtgK4gR3KFIh-ERT3k,grocery_or_supermarket,114,farmer jack's market,t,2024-12-31 05:24:02.251689
142,279,Village Square Supplements,OPERATIONAL,"2049 Pine St, Burlington, ON L7R 1E9, Canada", Burlington,"NULL",43.32638,-79.7952,43.32764,-79.7937,43.32494,-79.7964,f,ChIJn0cNrgCfLIgRP5Whxn8tvfI,"86G3+HW Burlington, Ontario",87M286G3+HW,NULL,4.8,ChIJn0cNrgCfLIgRP5Whxn8tvfI,restaurant,22,village square supplements,t,2024-12-31 05:24:02.312481
143,142,Hima lounge,OPERATIONAL,"1450 Headon Rd, Burlington, ON L7M 3Z5, Canada", Burlington,"NULL",43.37329,-79.8098,43.37473,-79.8083,43.37203,-79.811,f,ChIJ1VnppARhK4gRLFuMGX1HkMY,"95FR+83 Burlington, Ontario",87M295FR+83,NULL,5,ChIJ1VnppARhK4gRLFuMGX1HkMY,restaurant,45,hima lounge,t,2024-12-31 05:24:02.35053
144,596,Swadesh Supermarket-Burlington,OPERATIONAL,"4155 Fairview St #16, Burlington, ON L7L 2A4, Canada", Burlington,"NULL",43.36487,-79.7754,43.36592,-79.7736,43.36322,-79.7763,f,ChIJ5SubTk5hK4gRUMt7hZSZ9QE,"967F+WR Burlington, Ontario",87M2967F+WR,NULL,4.6,ChIJ5SubTk5hK4gRUMt7hZSZ9QE,grocery_or_supermarket,289,swadesh supermarket-burlington,t,2024-12-31 05:24:02.388087
