deal_id,restaurant_id,title,description,price,day_of_week,category,second_category,start_time,end_time,is_approved,is_promoted,promoted_until,created_by,created_at,updated_at,price_per_wing,deal_type,category_details,price_type,flat_price,percentage_discount,promotion_tier
20,399,Deal 20,"$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm",6.99,Wednesday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.804947,2025-01-01 17:37:40.962878,NULL,flat,NULL,fixed,6.99,NULL,0
109,869,Deal 139,Donate $5 and get 3 Free Kids Meals,5.00,Sunday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.362394,2024-12-31 17:32:06.361955,NULL,flat,NULL,fixed,5.00,NULL,0
108,869,Deal 138,Donate $5 and get 3 Free Kids Meals,5.00,Saturday,Kids,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.323861,2024-12-31 17:32:07.587765,NULL,flat,NULL,fixed,5.00,NULL,0
102,869,Deal 132,$6 Coors Light (16oz),6.00,Thursday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.072048,2024-12-31 21:56:40.806558,NULL,flat,NULL,fixed,6.00,NULL,0
70,824,Deal 99,Jager + Fireball,5.00,Sunday,Drinks,Shots,15:00:00,18:00:00,t,f,NULL,NULL,2024-12-31 05:24:47.786043,2024-12-31 21:56:55.443991,NULL,flat,NULL,fixed,5.00,NULL,0
128,845,Deal 158,Wings & Whistle,7.00,Tuesday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.120397,2024-12-31 22:41:10.118071,NULL,flat,NULL,fixed,7.00,NULL,0
126,845,Deal 156,Burgers,14.00,Wednesday,Burgers,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:50.037658,2024-12-31 22:41:12.385031,NULL,flat,NULL,fixed,14.00,NULL,0
124,845,Deal 154,Burger & Beer,17.70,Monday,Combos,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:49.958052,2024-12-31 22:41:14.565939,NULL,flat,NULL,fixed,17.70,NULL,0
123,976,Deal 153,Happy Hour 2-5pm ,6.00,Wednesday,Drinks,Spirits,14:00:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.917112,2024-12-31 22:41:15.582705,NULL,flat,NULL,fixed,6.00,NULL,0
122,976,Deal 152,Happy Hour 2-5pm ,6.00,Tuesday,Drinks,Wine,14:00:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.869979,2024-12-31 22:41:16.633605,NULL,flat,NULL,fixed,6.00,NULL,0
121,976,Deal 151,Happy Hour 2-5pm ,6.00,Monday,Drinks,Beer,14:00:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.831923,2024-12-31 22:41:17.658475,NULL,flat,NULL,fixed,6.00,NULL,0
