"id","name","business_status","formatted_address","city","website","geometry_location_lat","geometry_location_lng","geometry_viewport_northeast_lat","geometry_viewport_northeast_lng","geometry_viewport_southwest_lat","geometry_viewport_southwest_lng","opening_hours_open_now","place_id","plus_code_compound_code","plus_code_global_code","price_level","rating","reference","types","user_ratings_total","normalized_name","master_business_id"
503,"Wass Ethiopian Restaurant","OPERATIONAL","207 James St S, Hamilton, ON L8P 3A8, Canada"," Hamilton",NULL,"43.25034000","-79.87170000","43.25171000","-79.87040000","43.24901000","-79.87310000",False,"ChIJOw4Mfp6bLIgRHHMKssHJbrc","742H+48 Hamilton, Ontario","87M2742H+48",2,"4.7","ChIJOw4Mfp6bLIgRHHMKssHJbrc","restaurant",749,"wass ethiopian restaurant",284
504,"PinToh by Chef Keng","OPERATIONAL","21 John St N, Hamilton, ON L8R 1H1, Canada"," Hamilton",NULL,"43.25659000","-79.86650000","43.25791000","-79.86500000","43.25521000","-79.86770000",False,"ChIJUZweZ1-bLIgRa57f9_TRqHg","744M+JC Hamilton, Ontario","87M2744M+JC",2,"4.6","ChIJUZweZ1-bLIgRa57f9_TRqHg","restaurant",261,"pintoh by chef keng",292
505,"Little Saigon Vietnamese, Thai & Japanese Restaurant","OPERATIONAL","66 Mall Rd, Hamilton, ON L8V 5B9, Canada"," Hamilton",NULL,"43.22132000","-79.86150000","43.22261000","-79.86010000","43.21991000","-79.86280000",False,"ChIJt3QP4E2aLIgRFGDY3CsUj14","64CQ+GC Hamilton, Ontario","87M264CQ+GC",2,"4.3","ChIJt3QP4E2aLIgRFGDY3CsUj14","restaurant",448,"little saigon vietnamese, thai & japanese restaurant",397
506,"Dragon Court Restaurant","OPERATIONAL","988 King St W, Hamilton, ON L8S 1L1, Canada"," Hamilton",NULL,"43.26256000","-79.90470000","43.26384000","-79.90320000","43.26114000","-79.90590000",False,"ChIJ6TO12lubLIgRW9gDwhjtTnA","737W+24 Hamilton, Ontario","87M2737W+24",2,"4.0","ChIJ6TO12lubLIgRW9gDwhjtTnA","restaurant",342,"dragon court restaurant",856
507,"The Pheasant Plucker","OPERATIONAL","20 Augusta St, Hamilton, ON L8N 1P7, Canada"," Hamilton",NULL,"43.25186000","-79.87040000","43.25328000","-79.86900000","43.25058000","-79.87170000",False,"ChIJG80bapybLIgRpLBVKYkM8g8","742H+PV Hamilton, Ontario","87M2742H+PV",2,"4.3","ChIJG80bapybLIgRpLBVKYkM8g8","restaurant",728,"the pheasant plucker",242
508,"Noodlebox","OPERATIONAL","1241 Barton St E unit q8, Hamilton, ON L8H 2V4, Canada"," Hamilton",NULL,"43.25036000","-79.81000000","43.25181000","-79.80850000","43.24911000","-79.81120000",False,"ChIJDcLLMQCZLIgReWKPkj9lAP0","752R+42 Hamilton, Ontario","87M2752R+42",2,"4.8","ChIJDcLLMQCZLIgReWKPkj9lAP0","restaurant",102,"noodlebox",89
509,"Black Forest Inn","OPERATIONAL","255 King St E, Hamilton, ON L8N 1B9, Canada"," Hamilton",NULL,"43.25436000","-79.86160000","43.25567000","-79.86030000","43.25297000","-79.86300000",False,"ChIJqWzMIJCbLIgRZRqRyeUIiJs","743Q+P9 Hamilton, Ontario","87M2743Q+P9",2,"4.3","ChIJqWzMIJCbLIgRZRqRyeUIiJs","restaurant",1784,"black forest inn",411
510,"Donair Istanbull","OPERATIONAL","625 Greenhill Ave, Hamilton, ON L8K 5W9, Canada"," Hamilton",NULL,"43.21007000","-79.78630000","43.21138000","-79.78490000","43.20868000","-79.78760000",False,"ChIJgaPcZdaZLIgRd0wyX5iC808","6667+2F Hamilton, Ontario","87M26667+2F",2,"4.7","ChIJgaPcZdaZLIgRd0wyX5iC808","restaurant",516,"donair istanbull",732
511,"The Burnt Tongue","OPERATIONAL","182 Locke St S, Hamilton, ON L8P 4B3, Canada"," Hamilton",NULL,"43.25566000","-79.88570000","43.25699000","-79.88430000","43.25429000","-79.88700000",False,"ChIJo0vX4W-bLIgRJgX7HmP-RUg","7447+6P Hamilton, Ontario","87M27447+6P",2,"4.6","ChIJo0vX4W-bLIgRJgX7HmP-RUg","restaurant",851,"the burnt tongue",207
512,"Etno Bar & Grill","OPERATIONAL","125 Gailmont Dr, Hamilton, ON L8K 4B8, Canada"," Hamilton",NULL,"43.22422000","-79.78320000","43.22557000","-79.78200000","43.22287000","-79.78470000",False,"ChIJA7S0w_2YLIgR5-Pl7ZIysfU","66F8+MP Hamilton, Ontario","87M266F8+MP",2,"4.8","ChIJA7S0w_2YLIgR5-Pl7ZIysfU","bar",529,"etno bar & grill",90
513,"Corktown Irish Pub, The","OPERATIONAL","175 Young St, Hamilton, ON L8N 1V7, Canada"," Hamilton",NULL,"43.24969000","-79.86420000","43.25099000","-79.86290000","43.24829000","-79.86560000",False,"ChIJoyKg9pmbLIgRr0v2iWewwDs","64XP+V8 Hamilton, Ontario","87M264XP+V8",2,"4.4","ChIJoyKg9pmbLIgRr0v2iWewwDs","bar",827,"corktown irish pub, the",196
514,"Firths Celtic Pub","OPERATIONAL","543 Upper James St, Hamilton, ON L9C 2Y5, Canada"," Hamilton",NULL,"43.24128000","-79.87610000","43.24264000","-79.87480000","43.23994000","-79.87750000",False,"ChIJl75ZiwmbLIgR9tX9zdmMSzU","64RF+GH Hamilton, Ontario","87M264RF+GH",2,"4.4","ChIJl75ZiwmbLIgR9tX9zdmMSzU","restaurant",943,"firths celtic pub",695
515,"Fionn MacCool's","OPERATIONAL","1786 Stone Church Rd E Unit 1, Hamilton, ON L8J 0K5, Canada"," Hamilton",NULL,"43.19140000","-79.81130000","43.19273000","-79.81000000","43.19003000","-79.81270000",False,"ChIJn16tf-WZLIgRs2zP_SPPd1w","55RQ+HF Hamilton, Ontario","87M255RQ+HF",2,"4.1","ChIJn16tf-WZLIgRs2zP_SPPd1w","restaurant",1170,"fionn maccool's",198
516,"Cat & Fiddle","OPERATIONAL","174 John St S, Hamilton, ON L8N 2C6, Canada"," Hamilton",NULL,"43.25151000","-79.86860000","43.25293000","-79.86730000","43.25023000","-79.87000000",False,"ChIJK2eyjJubLIgRUl-7mWEmq7s","742J+JH Hamilton, Ontario","87M2742J+JH",2,"4.3","ChIJK2eyjJubLIgRUl-7mWEmq7s","bar",710,"cat & fiddle",194
517,"Ye Olde Squire","OPERATIONAL","1508 Upper James St, Hamilton, ON L9B 1K3, Canada"," Hamilton",NULL,"43.20646000","-79.89170000","43.20775000","-79.89040000","43.20505000","-79.89310000",False,"ChIJRxeHe5SaLIgRyy4ryuy9lZE","6445+H8 Hamilton, Ontario","87M26445+H8",2,"4.3","ChIJRxeHe5SaLIgRyy4ryuy9lZE","restaurant",1534,"ye olde squire",104
518,"Loaded Pierogi","OPERATIONAL","275 James St N #3, Hamilton, ON L8R 2L4, Canada"," Hamilton",NULL,"43.26378000","-79.86630000","43.26503000","-79.86520000","43.26233000","-79.86790000",False,"ChIJ0_g9d4ebLIgRdAwVSuA2pfs","747M+GF Hamilton, Ontario","87M2747M+GF",2,"4.3","ChIJ0_g9d4ebLIgRdAwVSuA2pfs","meal_delivery",720,"loaded pierogi",422
519,"Nando's PERi-PERi","OPERATIONAL","1782 Stone Church Rd E Unit 5, Hamilton, ON L8J 0K5, Canada"," Hamilton",NULL,"43.19174000","-79.81230000","43.19298000","-79.81090000","43.19028000","-79.81360000",False,"ChIJxW70LuaZLIgR6z5umPXb2UU","55RQ+M3 Hamilton, Ontario","87M255RQ+M3",2,"4.1","ChIJxW70LuaZLIgR6z5umPXb2UU","restaurant",1449,"nando's peri-peri",197
520,"Sagarmatha Curry Palace Restaurant Authentic Indian & Nepalese Cuisine","OPERATIONAL","43 King William St, Hamilton, ON L8R 1A2, Canada"," Hamilton",NULL,"43.25718000","-79.86720000","43.25850000","-79.86580000","43.25580000","-79.86850000",False,"ChIJT6xH9ISbLIgRqfLctg6e8oc","744M+V4 Hamilton, Ontario","87M2744M+V4",2,"4.2","ChIJT6xH9ISbLIgRqfLctg6e8oc","restaurant",1011,"sagarmatha curry palace restaurant authentic indian & nepalese cuisine",613
521,"Metro Restaurant","OPERATIONAL","164 &, 168 Victoria St N, Kitchener, ON N2H 5C6, Canada"," Kitchener",NULL,"43.45596000","-80.49120000","43.45719000","-80.48980000","43.45449000","-80.49250000",False,"ChIJ70_ASoz0K4gR59ClakRBJq0","FG45+9G Kitchener, Ontario","86MXFG45+9G",2,"4.3","ChIJ70_ASoz0K4gR59ClakRBJq0","meal_delivery",1083,"metro restaurant",182
